"gene","avg_log2FC","p_val_adj"
"NDRG4",1.37356801908283,3.12427244081433e-06
"MT-ND2",1.37349062466087,3.50637300168201e-25
"SPARCL1",1.37301932171552,2.22452707255829e-16
"RBFOX2",1.36868932188046,4.77094665715998e-07
"SPOCK3",1.36471229933313,2.53912254871778e-09
"MT-CYB",1.35928018227802,8.03173519589474e-39
"RAPGEF4",1.35438040050401,3.25447534772894e-05
"MT-ND3",1.34666780873075,3.79875109976027e-49
"SEMA6B",1.34209609787553,0.00511375645733784
"TSPYL1",1.33311788439359,0.00387065168042733
"DKK3",1.33009289022274,1.57779979694889e-08
"SNAP25",1.32636494087336,2.23744615565909e-16
"SLC24A2",1.31275242553358,2.10558833853541e-16
"TAGLN3",1.31164036134298,0.000571317402323273
"CALY",1.30944839498912,3.07680253806114e-11
"SPOCK1",1.3051730446807,7.37685092803945e-10
"PCSK1N",1.30280464401176,5.98249262020759e-08
"DNAJC6",1.30213658766429,0.0171251546035408
"PLXNA2",1.30190295296054,0.00141191993844392
"KIF1A",1.29902228903767,2.75957963634189e-07
"FBXO44",1.29157148944638,0.000912433648282499
"DNAJB2",1.2720726832939,6.81548539671474e-06
"MAP7",1.2709713701246,2.54321461172899e-08
"CADM1",1.26182976449692,5.78897171269043e-12
"SEMA6D",1.2597444665074,0.00138071680953015
"TSPAN5",1.25528324644232,8.19926597812363e-08
"UNC5C",1.25098780690004,4.95060817281637e-13
"UCHL1",1.23674185315988,9.96613214534257e-05
"ENO2",1.22887729139844,4.4489882116253e-05
"MT-ND4L",1.22548525059325,4.95536778541496e-11
"MT-RNR2",1.22308026091996,7.54979064122718e-69
"CADPS2",1.22252956638797,4.95061210917773e-10
"MIB2",1.21386861535335,0.0304862634757836
"CAMK2N1",1.20890554261721,0.000261184587140653
"SNCB",1.19999202945664,3.64812604492577e-08
"VSNL1",1.18378658498147,0.000153558888131013
"PPP1R13B",1.16731562793762,0.0458136672399304
"MIR100HG",1.15238940688344,0.00357417095313057
"SYN1",1.14114693772953,0.00531931083328001
"NPAS3",1.1320765737435,3.4942285696535e-14
"GPM6B",1.12882827287504,3.13163352811097e-08
"THRB",1.10536639774704,7.10178888449571e-09
"GNAO1",1.10479672180501,5.39722889016448e-05
"MED12L",1.10026440933462,0.000244865345472657
"MAP1B",1.09809250366638,6.45965054830849e-16
"TSC22D1",1.09203360371135,8.50004117128577e-05
"MAP1A",1.08783381653082,0.00264326032636801
"DLGAP4",1.0852538182042,0.00949481110707161
"AHI1",1.07321581072118,6.69608971950464e-10
"MCTP1",1.07022752657926,5.14910362775543e-06
"NRGN",1.05161025868542,3.15713645397798e-07
"HMGB1",1.04765007236173,4.82413994610568e-06
"CLU",1.03484384319154,1.55745541288837e-08
"PKP4",1.027949639552,0.00249701724476102
